,id,full_name,first_name,last_name,is_active
2956,77619,Bill Mlkvy,Bill,Mlkvy,0
2957,1749,Cuttino Mobley,Cuttino,Mobley,0
2958,211,Eric Mobley,Eric,Mobley,0
2959,1630596,Evan Mobley,Evan,Mobley,1
2960,1630600,Isaiah Mobley,Isaiah,Mobley,1
2961,77621,Larry Moffett,Larry,Moffett,0
2962,77622,Leo Mogus,Leo,Mogus,0
2963,1737,Nazr Mohammed,Nazr,Mohammed,0
2964,2040,Jerome Moiso,Jerome,Moiso,0
2965,77623,Paul Mokeski,Paul,Mokeski,0
2966,1629690,Adam Mokoka,Adam,Mokoka,0
2967,77624,Jack Molinas,Jack,Molinas,0
2968,77625,Wayne Molis,Wayne,Molis,0
2969,77626,Sidney Moncrief,Sidney,Moncrief,0
2970,1631320,Chima Moneke,Chima,Moneke,1
2971,77627,Eric Money,Eric,Money,0
2972,2752,Sergei Monia,Sergei,Monia,0
2973,1628370,Malik Monk,Malik,Monk,1
2974,600006,Earl Monroe,Earl,Monroe,0
2975,202328,Greg Monroe,Greg,Monroe,0
2976,77628,Rodney Monroe,Rodney,Monroe,0
2977,1626242,Luis Montero,Luis,Montero,0
2978,77630,Howie Montgomery,Howie,Montgomery,0
2979,376,Eric Montross,Eric,Montross,0
2980,1630541,Moses Moody,Moses,Moody,1
2981,200081,Jamario Moon,Jamario,Moon,0
2982,1629875,Xavier Moon,Xavier,Moon,1
2983,77631,Jim Mooney,Jim,Mooney,0
2984,1629760,Matt Mooney,Matt,Mooney,0
2985,77632,Andre Moore,Andre,Moore,0
2986,1628500,Ben Moore,Ben,Moore,0
2987,202734,E'Twaun Moore,E'Twaun,Moore,0
2988,77634,Jackie Moore,Jackie,Moore,0
2989,77633,Johnny Moore,Johnny,Moore,0
2990,77635,Lowes Moore,Lowes,Moore,0
2991,1630,Mikki Moore,Mikki,Moore,0
2992,77636,Otto Moore,Otto,Moore,0
2993,77637,Ron Moore,Ron,Moore,0
2994,929,Tracy Moore,Tracy,Moore,0
2995,1631111,Wendell Moore Jr.,Wendell,Moore Jr.,1
2996,1629630,Ja Morant,Ja,Morant,1
2997,203961,Eric Moreland,Eric,Moreland,0
2998,77639,Jackie Moreland,Jackie,Moreland,0
2999,77640,Guy Morgan,Guy,Morgan,0
3000,1629752,Juwan Morgan,Juwan,Morgan,0
3001,77641,Rex Morgan,Rex,Morgan,0
3002,77642,Elmo Morgenthaler,Elmo,Morgenthaler,0
